time,open,high,low,close
1596413700,11056.16,11099,11049.99,11074.13
1596414600,11074.13,11130.01,11074.13,11116.06
1596415500,11116.32,11144.77,11102.7,11135.3
1596416400,11135.3,11179.1,11128.98,11134.76
1596417300,11134.75,11165,11128.98,11149.29
1596418200,11149.29,11162.4,11116,11125.55
1596419100,11125.48,11141.38,11108.11,11117.97
1596420000,11117.97,11146.84,11117.97,11139.98
1596420900,11139.57,11193.85,11128.08,11174.34
1596421800,11174.33,11200.8,11161.46,11195.45
1596422700,11196.12,11207.88,11168,11178.65
1596423600,11178.55,11194.64,11165.14,11186.77
1596424500,11186.6,11186.77,11162.57,11171.39
1596425400,11171.4,11185,11127,11145.32
1596426300,11146.26,11158.84,11115.07,11136.47
1596427200,11136.27,11163.62,11132.43,11157.56
1596428100,11157.14,11170,11148.11,11159.43
1596429000,11159.43,11187.23,11158.7,11180.1
1596429900,11180.1,11183.93,11163.17,11171.32
1596430800,11171.32,11187.66,11160,11161.78
1596431700,11161.27,11166.28,11126.44,11159.26
1596432600,11159.31,11184.86,11159.31,11171.98
1596433500,11172.24,11200,11166.67,11200
1596434400,11200,11208.15,11190,11190.18
1596435300,11190.18,11206.62,11181.85,11204.18
1596436200,11204.18,11244.99,11199.77,11209.49
1596437100,11209.5,11230,11165,11190.5
1596438000,11190.5,11221.21,11183.85,11219.84
1596438900,11219.84,11233.5,11206.23,11229.94
1596439800,11229.93,11230.92,11205.05,11224.58
1596440700,11224.58,11225.35,11190.81,11197.11
1596441600,11196.93,11216,11172.28,11207.85
1596442500,11207.84,11240,11207.84,11217.88
1596443400,11217.87,11235.29,11193.35,11206.07
1596444300,11206.07,11206.92,11189.87,11189.87
1596445200,11189.87,11215.4,11186.22,11191.31
1596446100,11191.35,11204.51,11151,11160.92
1596447000,11160.93,11182.64,11150,11181.5
1596447900,11181.65,11184.27,11122.82,11127.98
1596448800,11128.07,11168.48,11120.69,11164.22
1596449700,11164.23,11176,11155.89,11173.37
1596450600,11173.37,11183.22,11165.43,11172.37
1596451500,11172.37,11202.28,11170.3,11201.75
1596452400,11201.75,11224.9,11186.81,11193
1596453300,11193,11223.74,11174.61,11218.29
1596454200,11218.28,11239,11200.01,11233.59
1596455100,11233.65,11243,11217.9,11231.14
1596456000,11231.15,11231.9,11203.62,11207.99
1596456900,11207.99,11216.27,11191.31,11204.96
1596457800,11204.99,11236.67,11203.69,11231.96
1596458700,11231.94,11246.33,11211.99,11218.01
1596459600,11218,11256.69,11216.1,11245.06
1596460500,11245.06,11263,11228.88,11261.37
1596461400,11261.6,11273,11247.54,11271.79
1596462300,11271.65,11300,11260.54,11273.05
1596463200,11272.98,11305.4,11260,11292.1
1596464100,11292.1,11327.83,11292.1,11315.26
1596465000,11315.27,11342.42,11275,11303.91
1596465900,11303.9,11305.09,11271.95,11300
1596466800,11300,11369.59,11295.16,11348.63
1596467700,11348.63,11380.88,11337.58,11359.59
1596468600,11359.6,11385,11315.14,11363.13
1596469500,11363.13,11383,11350.84,11382.37
1596470400,11382.37,11443.78,11379.94,11416.12
1596471300,11416.04,11473,11416.04,11430.57
1596472200,11430.57,11461.2,11395.45,11402.32
1596473100,11402.32,11410.18,11324.92,11352.25
1596474000,11354.68,11397.36,11329.73,11391.19
1596474900,11391.2,11404.14,11370.95,11391
1596475800,11391,11435.83,11381.22,11423.34
1596476700,11423.34,11424.44,11395.66,11417.07
1596477600,11417.06,11430,11379.04,11388.5
1596478500,11388.5,11404.15,11375.02,11389.41
1596479400,11389.33,11404.5,11368.8,11401.99
1596480300,11401.99,11418.92,11386.43,11416.12
1596481200,11416.04,11416.11,11362.31,11374.64
1596482100,11374.64,11386.13,11347.91,11369.91
1596483000,11369.91,11379.99,11351.68,11361.11
1596483900,11361.11,11409,11360.89,11399.46
1596484800,11399.46,11416,11392.37,11408.88
1596485700,11408.88,11412.72,11377.95,11381.12
1596486600,11381.12,11381.13,11346.62,11358.26
1596487500,11358.26,11376.7,11355.66,11373.63
1596488400,11373.63,11409,11335,11338.55
1596489300,11338.73,11368.07,11272.38,11338.91
1596490200,11338.91,11365.48,11252,11276.83
1596491100,11275.48,11318.84,11140.52,11191.28
1596492000,11190.74,11275.59,11180,11250.3
1596492900,11250.3,11294.95,11245.01,11285.86
1596493800,11285.64,11285.64,11220,11240.4
1596494700,11240.4,11247.52,11174.98,11213.94
1596495600,11213.94,11237,11133.75,11174.72
